ELLISSOIDE,DEFINIZIONE,SEMIASSE,1/f,NOTE
北京54, Krassovsky 1940,6378245,298.3, 
国家80, IAG 78,6378140,298.257, 
WGS84, WGS 1984,6378137,298.2572236, 
WGS72, WGS 1972,6378135,298.26, 
INTERNATIONAL, International 1924,6378388,297, Based on Hayford 1909/1910 figures
GRS80, GRS 1980,6378137,298.2572221, 
AIRY 1830, Airy 1830,6377563.396,299.3249646, 
AIRY 1849, Airy 1849,6377340.189,299.324964, 
AUSTRALIAN NATIONAL, Australian National,6378160,298.25, 
AVERAGE TERRESTRIAL SYSTEM 1977, Average Terrestrial System 1977,6378135,298.257, 
BESSEL 1841, Bessel 1841,6377397.155,299.1528128," Ethiopia, Indonesia Japan and Korea"
BESSEL 1841 NAMIBIA, Bessel 1841 - Namibia,6377483.865,299.1528128, Namibia
BESSEL DHDN, Bessel Modified,6377397.155,299.1528154, 
BESSEL MODIFIED, Bessel Modified,6377492.018,299.1528128, Used in Norway and Sweden with 1mm increase in semi-major axis
BESSEL NGO, Bessel - NGO 1948,6377492.018,299.15281, Modified
BESSEL RT90, Bessel - RT90,6377397.154,299.1528129, 
CLARKE 1858, Clarke 1858,6378294,294.3, 
CLARKE 1858 (AUSLIG), Clarke 1858 (AUSLIG),6378293.645,294.26, 
CLARKE 1858-1, Clarke 1858 - 1,6378293.639,294.26068, 
CLARKE 1866, Clarke 1866,6378206.4,294.9786982, 
CLARKE 1866 MICHIGAN, Clarke 1866 for Michigan,6378450.047,294.9786972, 
CLARKE 1880, Clarke 1880,6378249.136,293.465, 
CLARKE 1880 ARC50, Clarke 1880 for Arc 1950,6378249.145,293.4663076, 
CLARKE 1880 BENOIT, Clarke 1880 (Benoit) ,6378300.79,293.46623, Uses Benoit 1896 inch-metre ratio. Derived parameter: 1/f = 293.46623
CLARKE 1880 BENOIT, Clarke 1880 Benoit,6378300.789,293.4663155, 
CLARKE 1880 IGN, Clarke 1880 IGN,6378249.2,293.4660213, 
CLARKE 1880 JAMAICA, Clarke 1880 for Jamaica,6378249.136,293.46631, 
CLARKE 1880 MERCHICH, Clarke 1880 for Merchich,6378249.2,293.46598, 
CLARKE 1880 PALESTINE, Clarke 1880 for Palestine,6378300.79,293.46623, 
CLARKE 1880 RGS, Clarke 1880 RGS,6378249.145,293.465, 
CLARKE 1880 SGA 1922, Clarke 1880 (SGA 1922),6378249.2,293.46598, 
EVEREST 1830, Everest - 1830 (1937 Adjustment),6377276.345,300.8017, India
EVEREST 1948, Everest - 1948,6377304.063,300.8017, West Malaysia and Singapore
EVEREST 1956, Everest - 1956,6377301.243,300.8017, India
EVEREST 1967, Everest - 1967,6377298.556,300.8017, Adopted 1967 for use in East Malaysia. Uses Sears 1928 inch-metre ratio.
EVEREST 1969, Everest - 1969,6377295.664,300.8017, West Malaysia
EVEREST BRUNEI, Everest - Brun,6377298.556,300.8017, 
EVEREST PAKISTAN, Everest -Pakistan,6377309.613,300.8017, 
EVEREST TIMBALAI, Everest - Timb,6377298.561,300.8017, Everest 1830(modified) Timbalai
FISCHER 1960, Fischer 1960,6378166,298.3, 
FISCHER 1968, Fischer 1968,6378150,298.3, 
GEM 10C, GEM 10C,6378137,298.25722, 
GRS67, GRS 1967,6378160,298.2471674, 
HAYFORD, Hayford,6378388,297, 
HELMERT 1906, Helmert 1906,6378200,298.3, 
HOUGH, Hough,6378270,297, 
IAG 75, IAG 75,6378140,298.257222, 
INDONESIAN 1974, Indonesian 1974,6378160,298.247, 
IUGG 67, I.U.G.G. 67,6378160,298.25, 
IUGG 75, I.U.G.G. 75,6378140,298.257, 
KAULA, KAULA,6378165,292.3, 
Krassovsky, Krassovsky 1940,6378245,298.3, 
MERIT 83, MERIT 83,6378137,298.257, 
MOD FISCHER 1966, Modified Fischer 1966,6378155,298.3, 
MODIFIED AIRY, Modified Airy,6377340.189,299.3249646, 
NEW INTERNATIONAL 1967, New International 1967,6378157.5,298.25, 
NWL 10D, NWL 10D,6378135,298.26, 
NWL 9D, NWL 9D,6378145,298.25, Used by Transit Precise Ephemeris between October 1971 and January 1987
OSU86F, OSU86F,6378136.2,298.25722, Used for OSU86 gravity potential (geoidal) model
OSU91A, OSU91A,6378136.3,298.25722, Used for OSU91 gravity potential (geoidal) model
PLESSIS 1817, Plessis 1817,6376523,308.64, 
SGS85, SGS 85,6378136,298.5839688, 
SOUTH AMERICAN 1969, South American 1969,6378160,298.25, 
SOUTHEAST ASIA, Southeast Asia,6378155,298.3000002, 
SPHERE, Sphere,6371000,0, 
STRUVE 1860, Struve 1860,6378298.3,294.73, 
WALBECK, Walbeck,6376896,302.78, 
WAR OFFICE, War Office,6378300.583,296, 
WGS60, WGS 1960,6378165,298.3, 
WGS66, WGS 1966,6378145,298.25, 
