,T1,T2,T3,D,R1,R2,R3,EPOCH,Ref.
,cm,cm,cm,ppb,".001""",".001""",".001""",,IERS Tech.
,cm/y,cm/y,cm/y,ppb/y,".001""/y",".001""/y",".001""/y",,
ITRF2000,0,0,0,0,0,0,0,1997,27
rates,0,0,0,0,0,0,0,,
ITRF97,0.67,0.61,-1.85,1.55,0,0,0,1997,27
rates,0,-0.06,-0.14,0.01,0,0,0.02,,
ITRF96,0.67,0.61,-1.85,1.55,0,0,0,1997,24
rates,0,-0.06,-0.14,0.01,0,0,0.02,,
ITRF94,0.67,0.61,-1.85,1.55,0,0,0,1997,20
rates,0,-0.06,-0.14,0.01,0,0,0.02,,
ITRF93,1.27,0.65,-2.09,1.95,-0.39,0.8,-1.14,1988,18
rates,-0.29,-0.02,-0.06,0.01,-0.11,-0.19,0.07,,
ITRF92,1.47,1.35,-1.39,0.75,0,0,-0.18,1988,15
rates,0,-0.06,-0.14,0.01,0,0,0.02,,
ITRF91,2.67,2.75,-1.99,2.15,0,0,-0.18,1988,12
rates,0,-0.06,-0.14,0.01,0,0,0.02,,
ITRF90,2.47,2.35,-3.59,2.45,0,0,-0.18,1988,9
rates,0,-0.06,-0.14,0.01,0,0,0.02,,
ITRF89,2.97,4.75,-7.39,5.85,0,0,-0.18,1988,6
rates,0,-0.06,-0.14,0.01,0,0,0.02,,
ITRF88,2.47,1.15,-9.79,8.95,0.1,0,-0.18,1988,IERS An. Rep.
rates,0,-0.06,-0.14,0.01,0,0,0.02,,for 1988
